stepAvg,stepLast,bucketSize,loss,grad,drop,mfu,tps,pnorm
1639.5,1647,16,2.0910232216119766,0.6285167336463928,0.03736574821188256,21.238578493540892,2496382.523009556,4774.0244140625
1655.5,1663,16,2.0787864327430725,0.6213154494762421,0.03725004303410198,21.209424682172298,2492955.784011849,4774.085693359375
1671.5,1679,16,2.066017061471939,0.6108246445655823,0.03738267994909124,20.89395059805875,2455874.9600629667,4774.15283203125
1687.5,1695,16,2.0540609806776047,0.5943741798400879,0.03741907250051472,21.19212842135463,2490922.781509739,4774.65185546875
1703.5,1711,16,2.046389415860176,0.5755624771118164,0.037636511038396166,21.299412061153348,2503532.900566426,4774.748779296875
1719.5,1727,16,2.032653123140335,0.5739381909370422,0.037612434339032254,19.93741032558042,2343443.2161260587,4775.23486328125
1735.5,1743,16,2.0235471725463867,0.5666703581809998,0.03934493600249742,21.22083884832316,2494297.4051049184,4775.32373046875
1751.5,1759,16,2.011859282851219,0.5547648072242737,0.03760914764522265,21.24390287080175,2497008.350314521,4775.40283203125
1767.5,1775,16,2.006061479449272,0.577210545539856,0.038509928081607955,21.224780837967568,2494760.7465689983,4775.490234375
1783.5,1791,16,1.995552808046341,0.5120127350091934,0.03886940246659585,21.224299429964113,2494704.1618721164,4775.797119140625
1799.5,1807,16,1.984704002737999,0.599800169467926,0.03958137688283442,21.210801306470117,2493117.5924322605,4776.1201171875
1815.5,1823,16,1.9760015830397606,0.5237806439399719,0.03939189463077734,20.928089539197753,2459887.651215502,4776.871826171875
1831.5,1839,16,1.9693282395601273,0.5224355459213257,0.039735970471872745,21.099021977735372,2479979.0500965756,4777.16259765625
1847.5,1855,16,1.962233379483223,0.4887687563896179,0.03950622306332331,21.293743409676495,2502866.6072700014,4777.237060546875
1863.5,1871,16,1.9554032310843468,0.49893809854984283,0.040269615590769914,21.217253178357875,2493875.9454560373,4777.35595703125
1879.5,1887,16,1.9479271173477173,0.4445638954639435,0.041120688236939415,21.305312364256615,2504226.422195095,4777.40576171875
1895.5,1903,16,1.9385560601949692,0.46037647128105164,0.039834245503174534,19.826080660335656,2330357.527237132,4777.52197265625
1911.5,1919,16,1.9319170713424683,0.44244110584259033,0.04071174329146743,21.295813196530567,2503109.890017499,4778.4990234375
1927.5,1935,16,1.9213406890630722,0.45792411267757416,0.040216957169556714,21.24343069053211,2496952.850245475,4778.614013671875
1943.5,1951,16,1.9162659123539925,0.42442260682582855,0.04055897099191718,21.250725045465483,2497810.228726706,4778.756103515625
1959.5,1967,16,1.9088073745369911,0.4706417918205261,0.04118392926245702,21.244950669608617,2497131.50858662,4778.8544921875
1975.5,1983,16,1.9049036502838135,0.4588572084903717,0.04132459284102713,21.314887683660046,2505351.905240876,4778.957275390625
1991.5,1999,16,1.8964566737413406,0.4336758255958557,0.04148211226812705,21.263401903392985,2499300.2666116105,4779.9482421875
